etsng_code;etsng_name;cargo_group_code;cargo_group_name
332038;ПРОКАТ АЛЮМИНИЕВЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
332042;ПРОКАТ БИМЕТАЛЛОВ;3;Черные металлы
332057;ПРОКАТ БРОНЗОВЫЙ;3;Черные металлы
332061;ПРОКАТ ВАНАДИЕВЫЙ;3;Черные металлы
332076;ПРОКАТ ВОЛЬФРАМОВЫЙ;3;Черные металлы
332080;ПРОКАТ ДРАГОЦЕННЫХ МЕТАЛЛОВ;3;Черные металлы
332095;ПРОКАТ КАДМИЕВЫЙ;3;Черные металлы
332108;ПРОКАТ КОБАЛЬТОВЫЙ;3;Черные металлы
332112;ПРОКАТ ЛАТУННЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
332127;ПРОКАТ МАГНИЕВЫЙ;3;Черные металлы
332131;ПРОКАТ МЕДНО-НИКЕЛЕВЫЙ;3;Черные металлы
332146;ПРОКАТ МЕДНЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
332150;ПРОКАТ МОЛИБДЕНОВЫЙ;3;Черные металлы
332165;ПРОКАТ НИКЕЛЕВЫЙ;3;Черные металлы
332179;ПРОКАТ ОЛОВЯННЫЙ;3;Черные металлы
332184;ПРОКАТ СВИНЦОВЫЙ;3;Черные металлы
332199;ПРОКАТ ТИТАНОВЫЙ;3;Черные металлы
332201;ПРОКАТ ЦВЕТНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
332216;ПРОКАТ ЦИНКОВЫЙ;3;Черные металлы
332220;ПРОФИЛИ ИЗ ЦВЕТНЫХ МЕТАЛЛОВ И ИХ СПЛАВОВ;10;Остальные грузы
332235;ПРУТКИ ИЗ ЦВЕТНЫХ МЕТАЛЛОВ;3;Черные металлы
332245;ФОЛЬГА;10;Остальные грузы
333007;ЛОМ И ОТХОДЫ ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
333011;ГАРТЦИНК (ИЗГАРЬ ЦИНКОВАЯ);10;Остальные грузы
333026;ГЛЕТ АККУМУЛЯТОРНОГО СВИНЦА;10;Остальные грузы
333030;ЛОМ БИМЕТАЛЛОВ С ОСНОВОЙ ИЗ ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
333045;ЛОМ И ОТХОДЫ ЦВЕТНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
333055;ОБРЕЗКИ И ОБРУБКИ ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
333064;ОКАЛИНА ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
333079;ОПИЛКИ ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
333083;СТРУЖКА ЦВЕТНЫХ МЕТАЛЛОВ И ИХ СПЛАВОВ;10;Остальные грузы
333098;ПЫЛЬ ЦИНКОВАЯ;10;Остальные грузы
340000;ШЛАКИ МЕТАЛЛУРГИЧЕСКИЕ ДЛЯ ПЕРЕПЛАВКИ;10;Остальные грузы
341003;ШЛАКИ МЕТАЛЛУРГИЧЕСКИЕ ДЛЯ ПЕРЕПЛАВКИ;10;Остальные грузы
